id,Estado
230,BAJA CALIFORNIA
231,BAJA CALIFORNIA
232,BAJA CALIFORNIA
233,BAJA CALIFORNIA
234,BAJA CALIFORNIA
235,BAJA CALIFORNIA
236,BAJA CALIFORNIA
237,BAJA CALIFORNIA
238,BAJA CALIFORNIA
239,BAJA CALIFORNIA
240,BAJA CALIFORNIA
241,BAJA CALIFORNIA
242,BAJA CALIFORNIA
243,BAJA CALIFORNIA
244,BAJA CALIFORNIA
245,BAJA CALIFORNIA
246,BAJA CALIFORNIA
247,BAJA CALIFORNIA
248,BAJA CALIFORNIA
249,BAJA CALIFORNIA
250,BAJA CALIFORNIA
251,BAJA CALIFORNIA
252,BAJA CALIFORNIA
253,BAJA CALIFORNIA
254,BAJA CALIFORNIA
255,BAJA CALIFORNIA
256,BAJA CALIFORNIA
257,BAJA CALIFORNIA
258,BAJA CALIFORNIA
259,BAJA CALIFORNIA
260,BAJA CALIFORNIA
261,BAJA CALIFORNIA
262,BAJA CALIFORNIA
263,BAJA CALIFORNIA
264,BAJA CALIFORNIA
265,BAJA CALIFORNIA
266,BAJA CALIFORNIA
267,BAJA CALIFORNIA
268,BAJA CALIFORNIA
269,BAJA CALIFORNIA
270,BAJA CALIFORNIA
271,BAJA CALIFORNIA
272,BAJA CALIFORNIA
273,BAJA CALIFORNIA
274,BAJA CALIFORNIA
275,BAJA CALIFORNIA
276,BAJA CALIFORNIA
277,BAJA CALIFORNIA
278,BAJA CALIFORNIA
279,BAJA CALIFORNIA
280,BAJA CALIFORNIA
281,BAJA CALIFORNIA
282,BAJA CALIFORNIA
283,BAJA CALIFORNIA
284,BAJA CALIFORNIA
285,BAJA CALIFORNIA
286,BAJA CALIFORNIA
287,BAJA CALIFORNIA
288,BAJA CALIFORNIA
289,BAJA CALIFORNIA
290,BAJA CALIFORNIA
291,BAJA CALIFORNIA
292,BAJA CALIFORNIA
293,BAJA CALIFORNIA
294,BAJA CALIFORNIA
295,BAJA CALIFORNIA
296,BAJA CALIFORNIA
297,BAJA CALIFORNIA
298,BAJA CALIFORNIA
299,BAJA CALIFORNIA
300,BAJA CALIFORNIA
301,BAJA CALIFORNIA
302,BAJA CALIFORNIA
303,BAJA CALIFORNIA
304,BAJA CALIFORNIA
305,BAJA CALIFORNIA
306,BAJA CALIFORNIA
307,BAJA CALIFORNIA
308,BAJA CALIFORNIA
309,BAJA CALIFORNIA
310,BAJA CALIFORNIA
311,BAJA CALIFORNIA SUR
312,BAJA CALIFORNIA SUR
313,BAJA CALIFORNIA SUR
314,BAJA CALIFORNIA SUR
315,BAJA CALIFORNIA SUR
316,BAJA CALIFORNIA SUR
317,BAJA CALIFORNIA SUR
318,BAJA CALIFORNIA SUR
319,BAJA CALIFORNIA SUR
320,BAJA CALIFORNIA SUR
321,BAJA CALIFORNIA SUR
322,BAJA CALIFORNIA SUR
323,BAJA CALIFORNIA SUR
324,BAJA CALIFORNIA SUR
325,BAJA CALIFORNIA SUR
326,BAJA CALIFORNIA SUR
327,BAJA CALIFORNIA SUR
328,BAJA CALIFORNIA SUR
329,BAJA CALIFORNIA SUR
330,BAJA CALIFORNIA SUR
331,BAJA CALIFORNIA SUR
332,BAJA CALIFORNIA SUR
333,BAJA CALIFORNIA SUR
334,BAJA CALIFORNIA SUR
335,BAJA CALIFORNIA SUR
336,BAJA CALIFORNIA SUR
337,BAJA CALIFORNIA SUR
338,BAJA CALIFORNIA SUR
339,BAJA CALIFORNIA SUR
340,BAJA CALIFORNIA SUR
341,BAJA CALIFORNIA SUR
342,BAJA CALIFORNIA SUR
343,BAJA CALIFORNIA SUR
344,BAJA CALIFORNIA SUR
345,BAJA CALIFORNIA SUR
346,BAJA CALIFORNIA SUR
347,BAJA CALIFORNIA SUR
348,BAJA CALIFORNIA SUR
349,BAJA CALIFORNIA SUR
350,BAJA CALIFORNIA SUR
351,BAJA CALIFORNIA SUR
352,BAJA CALIFORNIA SUR
353,BAJA CALIFORNIA SUR
354,BAJA CALIFORNIA SUR
355,BAJA CALIFORNIA SUR
356,BAJA CALIFORNIA SUR
357,BAJA CALIFORNIA SUR
358,BAJA CALIFORNIA SUR
359,BAJA CALIFORNIA SUR
360,BAJA CALIFORNIA SUR
361,BAJA CALIFORNIA SUR
362,BAJA CALIFORNIA SUR
363,BAJA CALIFORNIA SUR
364,BAJA CALIFORNIA SUR
365,BAJA CALIFORNIA SUR
366,BAJA CALIFORNIA SUR
367,BAJA CALIFORNIA SUR
368,BAJA CALIFORNIA SUR
369,BAJA CALIFORNIA SUR
370,BAJA CALIFORNIA SUR
371,BAJA CALIFORNIA SUR
372,BAJA CALIFORNIA SUR
373,BAJA CALIFORNIA SUR
374,BAJA CALIFORNIA SUR
375,BAJA CALIFORNIA SUR
376,BAJA CALIFORNIA SUR
377,BAJA CALIFORNIA SUR
378,BAJA CALIFORNIA SUR
379,BAJA CALIFORNIA SUR
380,BAJA CALIFORNIA SUR
381,BAJA CALIFORNIA SUR
382,BAJA CALIFORNIA SUR
383,BAJA CALIFORNIA SUR
384,BAJA CALIFORNIA SUR
385,BAJA CALIFORNIA SUR
386,BAJA CALIFORNIA SUR
387,BAJA CALIFORNIA SUR
388,BAJA CALIFORNIA SUR
389,BAJA CALIFORNIA SUR
390,BAJA CALIFORNIA SUR
391,BAJA CALIFORNIA SUR
392,BAJA CALIFORNIA SUR
393,BAJA CALIFORNIA SUR
394,BAJA CALIFORNIA SUR
395,BAJA CALIFORNIA SUR
396,BAJA CALIFORNIA SUR
397,BAJA CALIFORNIA SUR
398,BAJA CALIFORNIA SUR
399,BAJA CALIFORNIA SUR
400,BAJA CALIFORNIA SUR
401,BAJA CALIFORNIA SUR
402,BAJA CALIFORNIA SUR
403,BAJA CALIFORNIA SUR
404,BAJA CALIFORNIA SUR
405,BAJA CALIFORNIA SUR
406,BAJA CALIFORNIA SUR
407,BAJA CALIFORNIA SUR
408,BAJA CALIFORNIA SUR
409,BAJA CALIFORNIA SUR
410,BAJA CALIFORNIA SUR
411,BAJA CALIFORNIA SUR
412,BAJA CALIFORNIA SUR
413,BAJA CALIFORNIA SUR
414,BAJA CALIFORNIA SUR
415,BAJA CALIFORNIA SUR
416,BAJA CALIFORNIA SUR
417,BAJA CALIFORNIA SUR
418,BAJA CALIFORNIA SUR
419,BAJA CALIFORNIA SUR
420,BAJA CALIFORNIA SUR
421,BAJA CALIFORNIA SUR
422,BAJA CALIFORNIA SUR
423,BAJA CALIFORNIA SUR
424,BAJA CALIFORNIA SUR
425,BAJA CALIFORNIA SUR
426,BAJA CALIFORNIA SUR
427,BAJA CALIFORNIA SUR
428,BAJA CALIFORNIA SUR
429,BAJA CALIFORNIA SUR
430,BAJA CALIFORNIA SUR
431,BAJA CALIFORNIA SUR
432,BAJA CALIFORNIA SUR
433,BAJA CALIFORNIA SUR
434,BAJA CALIFORNIA SUR
435,BAJA CALIFORNIA SUR
436,BAJA CALIFORNIA SUR
437,BAJA CALIFORNIA SUR
438,BAJA CALIFORNIA SUR
439,BAJA CALIFORNIA SUR
440,BAJA CALIFORNIA SUR
441,BAJA CALIFORNIA SUR
442,BAJA CALIFORNIA SUR
443,BAJA CALIFORNIA SUR
444,BAJA CALIFORNIA SUR
445,BAJA CALIFORNIA SUR
446,BAJA CALIFORNIA SUR
447,BAJA CALIFORNIA SUR
448,BAJA CALIFORNIA SUR
449,BAJA CALIFORNIA SUR
450,BAJA CALIFORNIA SUR
451,BAJA CALIFORNIA SUR
452,BAJA CALIFORNIA SUR
453,BAJA CALIFORNIA SUR
454,BAJA CALIFORNIA SUR
455,BAJA CALIFORNIA SUR
456,BAJA CALIFORNIA SUR
457,BAJA CALIFORNIA SUR
458,BAJA CALIFORNIA SUR
459,BAJA CALIFORNIA SUR
460,BAJA CALIFORNIA SUR
461,BAJA CALIFORNIA SUR
462,BAJA CALIFORNIA SUR
463,BAJA CALIFORNIA SUR
464,BAJA CALIFORNIA SUR
465,BAJA CALIFORNIA SUR
466,BAJA CALIFORNIA SUR
467,BAJA CALIFORNIA SUR
468,BAJA CALIFORNIA SUR
469,BAJA CALIFORNIA SUR
470,BAJA CALIFORNIA SUR
471,BAJA CALIFORNIA SUR
472,BAJA CALIFORNIA SUR
473,BAJA CALIFORNIA SUR
474,BAJA CALIFORNIA SUR
475,BAJA CALIFORNIA SUR
476,BAJA CALIFORNIA SUR
477,BAJA CALIFORNIA SUR
478,BAJA CALIFORNIA SUR
479,BAJA CALIFORNIA SUR
480,BAJA CALIFORNIA SUR
481,BAJA CALIFORNIA SUR
482,BAJA CALIFORNIA SUR
483,BAJA CALIFORNIA SUR
484,BAJA CALIFORNIA SUR
485,BAJA CALIFORNIA SUR
486,BAJA CALIFORNIA SUR
487,BAJA CALIFORNIA SUR
488,BAJA CALIFORNIA SUR
489,BAJA CALIFORNIA SUR
490,BAJA CALIFORNIA SUR
491,BAJA CALIFORNIA SUR
492,BAJA CALIFORNIA SUR
493,BAJA CALIFORNIA SUR
494,BAJA CALIFORNIA SUR
495,BAJA CALIFORNIA SUR
496,BAJA CALIFORNIA SUR
497,BAJA CALIFORNIA SUR
498,BAJA CALIFORNIA SUR
499,BAJA CALIFORNIA SUR
500,BAJA CALIFORNIA SUR
501,BAJA CALIFORNIA SUR
502,BAJA CALIFORNIA SUR
503,BAJA CALIFORNIA SUR
504,BAJA CALIFORNIA SUR
505,BAJA CALIFORNIA SUR
506,BAJA CALIFORNIA SUR
507,BAJA CALIFORNIA SUR
508,BAJA CALIFORNIA SUR
509,BAJA CALIFORNIA SUR
510,BAJA CALIFORNIA SUR
511,BAJA CALIFORNIA SUR
512,BAJA CALIFORNIA SUR
513,BAJA CALIFORNIA SUR
514,BAJA CALIFORNIA SUR
515,BAJA CALIFORNIA SUR
516,BAJA CALIFORNIA SUR
517,BAJA CALIFORNIA SUR
518,BAJA CALIFORNIA SUR
519,BAJA CALIFORNIA SUR
520,BAJA CALIFORNIA SUR
521,BAJA CALIFORNIA SUR
522,BAJA CALIFORNIA SUR
523,BAJA CALIFORNIA SUR
524,BAJA CALIFORNIA SUR
525,BAJA CALIFORNIA SUR
526,BAJA CALIFORNIA SUR
527,BAJA CALIFORNIA SUR
528,BAJA CALIFORNIA SUR
529,BAJA CALIFORNIA SUR
530,BAJA CALIFORNIA SUR
531,BAJA CALIFORNIA SUR
532,BAJA CALIFORNIA SUR
533,BAJA CALIFORNIA SUR
534,BAJA CALIFORNIA SUR
535,BAJA CALIFORNIA SUR
536,BAJA CALIFORNIA SUR
