,Incumplimiento
133,NO SE DETECTO INCUMPLIMIENTO
134,Producto Caducado
135,Carece de fecha de caducidad
136,NO SE DETECTO INCUMPLIMIENTO
137,NO SE DETECTO INCUMPLIMIENTO
138,NO SE DETECTO INCUMPLIMIENTO
139,NO SE DETECTO INCUMPLIMIENTO
140,NO SE DETECTO INCUMPLIMIENTO
141,NO SE DETECTO INCUMPLIMIENTO
142,Carece del precio maximo al publico en caracteres legibles e indelebles.
143,NO SE DETECTO INCUMPLIMIENTO
144,NO SE DETECTO INCUMPLIMIENTO
145,NO SE DETECTO INCUMPLIMIENTO
146,NO SE DETECTO INCUMPLIMIENTO
147,NO SE DETECTO INCUMPLIMIENTO
148,NO SE DETECTO INCUMPLIMIENTO
149,NO SE DETECTO INCUMPLIMIENTO
150,NO SE DETECTO INCUMPLIMIENTO
151,NO SE DETECTO INCUMPLIMIENTO
152,NO SE DETECTO INCUMPLIMIENTO
153,NO SE DETECTO INCUMPLIMIENTO
154,NO SE DETECTO INCUMPLIMIENTO
155,NO SE DETECTO INCUMPLIMIENTO
156,NO SE DETECTO INCUMPLIMIENTO
157,NO SE DETECTO INCUMPLIMIENTO
158,NO SE DETECTO INCUMPLIMIENTO
159,NO SE DETECTO INCUMPLIMIENTO
160,NO SE DETECTO INCUMPLIMIENTO
161,NO SE DETECTO INCUMPLIMIENTO
162,NO SE DETECTO INCUMPLIMIENTO
163,NO SE DETECTO INCUMPLIMIENTO
164,NO SE DETECTO INCUMPLIMIENTO
165,NO SE DETECTO INCUMPLIMIENTO
166,NO SE DETECTO INCUMPLIMIENTO
167,NO SE DETECTO INCUMPLIMIENTO
168,NO SE DETECTO INCUMPLIMIENTO
169,NO SE DETECTO INCUMPLIMIENTO
170,NO SE DETECTO INCUMPLIMIENTO
171,Producto Caducado
172,Carece de la lista de ingredientes
173,NO SE DETECTO INCUMPLIMIENTO
174,NO SE DETECTO INCUMPLIMIENTO
175,Carece de nombre y domicilio fiscal del fabricante o importador
176,Carece del nombre o denominacion generica del producto
177,NO SE DETECTO INCUMPLIMIENTO
178,NO SE DETECTO INCUMPLIMIENTO
179,Carece de toda informacion comercial  en el producto
180,NO SE DETECTO INCUMPLIMIENTO
181,NO SE DETECTO INCUMPLIMIENTO
182,NO SE DETECTO INCUMPLIMIENTO
183,NO SE DETECTO INCUMPLIMIENTO
184,NO SE DETECTO INCUMPLIMIENTO
185,Carece de toda informacion comercial  en el producto
186,Ostenta el Pais de Origen en Idioma Distinto al Espa¤ol
187,No indica veracidad de la informaci¢n comercial
188,NO SE DETECTO INCUMPLIMIENTO
189,NO SE DETECTO INCUMPLIMIENTO
190,NO SE DETECTO INCUMPLIMIENTO
191,NO SE DETECTO INCUMPLIMIENTO
192,NO SE DETECTO INCUMPLIMIENTO
193,Ostenta la informaci¢n comercial en idioma distinto al Espa¤ol
194,La informaci¢n  nutrimental  se encuentra en otro idioma distinto al espa¤ol
195,NO SE DETECTO INCUMPLIMIENTO
196,NO SE DETECTO INCUMPLIMIENTO
197,NO SE DETECTO INCUMPLIMIENTO
198,NO SE DETECTO INCUMPLIMIENTO
199,NO SE DETECTO INCUMPLIMIENTO
200,NO SE DETECTO INCUMPLIMIENTO
201,Producto Caducado
202,Carece de fecha de caducidad
203,NO SE DETECTO INCUMPLIMIENTO
204,NO SE DETECTO INCUMPLIMIENTO
205,NO SE DETECTO INCUMPLIMIENTO
206,NO SE DETECTO INCUMPLIMIENTO
207,NO SE DETECTO INCUMPLIMIENTO
208,NO SE DETECTO INCUMPLIMIENTO
209,Induce a error o confusion al consumidor con respecto a la naturaleza y caracteristicas del producto
210,La informaci¢n  nutrimental  se encuentra en otro idioma distinto al espa¤ol
211,Producto Caducado
212,NO SE DETECTO INCUMPLIMIENTO
213,Producto Caducado
214,NO SE DETECTO INCUMPLIMIENTO
215,NO SE DETECTO INCUMPLIMIENTO
216,NO SE DETECTO INCUMPLIMIENTO
217,NO SE DETECTO INCUMPLIMIENTO
218,Carece de leyenda : No etiquetado para su venta Individual
219,NO SE DETECTO INCUMPLIMIENTO
220,NO SE DETECTO INCUMPLIMIENTO
221,NO SE DETECTO INCUMPLIMIENTO
222,NO SE DETECTO INCUMPLIMIENTO
223,NO SE DETECTO INCUMPLIMIENTO
224,NO SE DETECTO INCUMPLIMIENTO
225,NO SE DETECTO INCUMPLIMIENTO
226,Producto Caducado
227,Carece de veracidad en informaci¢n
228,Producto Caducado
229,No indica veracidad de la informaci¢n comercial
230,NO SE DETECTO INCUMPLIMIENTO
231,NO SE DETECTO INCUMPLIMIENTO
232,Ostenta la informacion comercial en idioma distinto al español
233,Carece de veracidad en informaci¢n
234,Producto Caducado
235,NO SE DETECTO INCUMPLIMIENTO
236,NO SE DETECTO INCUMPLIMIENTO
237,NO SE DETECTO INCUMPLIMIENTO
238,NO SE DETECTO INCUMPLIMIENTO
239,Ostenta la fecha de caducidad en forma ilegible
240,NO SE DETECTO INCUMPLIMIENTO
241,NO SE DETECTO INCUMPLIMIENTO
242,NO SE DETECTO INCUMPLIMIENTO
243,NO SE DETECTO INCUMPLIMIENTO
244,NO SE DETECTO INCUMPLIMIENTO
245,NO SE DETECTO INCUMPLIMIENTO
246,Carece de la informaci¢n comercial obligatoria en idioma espa¤ol
247,NO SE DETECTO INCUMPLIMIENTO
248,NO SE DETECTO INCUMPLIMIENTO
249,NO SE DETECTO INCUMPLIMIENTO
250,Producto Caducado
251,NO SE DETECTO INCUMPLIMIENTO
252,NO SE DETECTO INCUMPLIMIENTO
253,NO SE DETECTO INCUMPLIMIENTO
254,NO SE DETECTO INCUMPLIMIENTO
255,NO SE DETECTO INCUMPLIMIENTO
256,NO SE DETECTO INCUMPLIMIENTO
257,NO SE DETECTO INCUMPLIMIENTO
258,Carece de fecha de caducidad
259,Producto Caducado
260,NO SE DETECTO INCUMPLIMIENTO
261,Producto Caducado
262,NO SE DETECTO INCUMPLIMIENTO
263,NO SE DETECTO INCUMPLIMIENTO
264,Producto Caducado
265,NO SE DETECTO INCUMPLIMIENTO
266,NO SE DETECTO INCUMPLIMIENTO
267,NO SE DETECTO INCUMPLIMIENTO
268,NO SE DETECTO INCUMPLIMIENTO
269,NO SE DETECTO INCUMPLIMIENTO
270,NO SE DETECTO INCUMPLIMIENTO
271,NO SE DETECTO INCUMPLIMIENTO
272,NO SE DETECTO INCUMPLIMIENTO
273,NO SE DETECTO INCUMPLIMIENTO
274,NO SE DETECTO INCUMPLIMIENTO
275,NO SE DETECTO INCUMPLIMIENTO
276,NO SE DETECTO INCUMPLIMIENTO
277,NO SE DETECTO INCUMPLIMIENTO
278,Carece de logotipo del fabricante
279,Carece de logotipo del fabricante
280,Carece de la informacion comercial obligatoria en idioma español
281,Carece de logotipo del fabricante
282,Carece de pais de origen ( puede presentarse en etiqueta o cintillo )
283,NO SE DETECTO INCUMPLIMIENTO
284,Carece de veracidad en informaci¢n
285,Carece de fecha de caducidad
286,No indica veracidad de la informaci¢n comercial
287,NO SE DETECTO INCUMPLIMIENTO
288,NO SE DETECTO INCUMPLIMIENTO
289,Producto Caducado
290,NO SE DETECTO INCUMPLIMIENTO
291,NO SE DETECTO INCUMPLIMIENTO
292,NO SE DETECTO INCUMPLIMIENTO
293,NO SE DETECTO INCUMPLIMIENTO
294,Carece de toda informacion comercial  en el producto
295,NO SE DETECTO INCUMPLIMIENTO
296,Carece de fecha de caducidad
297,No indica veracidad de la informaci¢n comercial
298,NO SE DETECTO INCUMPLIMIENTO
299,NO SE DETECTO INCUMPLIMIENTO
300,Carece de la  cantidad numerica que indique  la ley del metal
301,NO SE DETECTO INCUMPLIMIENTO
302,NO SE DETECTO INCUMPLIMIENTO
303,NO SE DETECTO INCUMPLIMIENTO
304,NO SE DETECTO INCUMPLIMIENTO
305,NO SE DETECTO INCUMPLIMIENTO
306,NO SE DETECTO INCUMPLIMIENTO
307,NO SE DETECTO INCUMPLIMIENTO
308,NO SE DETECTO INCUMPLIMIENTO
309,NO SE DETECTO INCUMPLIMIENTO
310,NO SE DETECTO INCUMPLIMIENTO
311,NO SE DETECTO INCUMPLIMIENTO
312,Carece de la leyenda que identifique el pais de origen
313,Ostenta la informacion comercial en idioma distinto al español
314,Ostenta la informacion comercial en idioma distinto al español
315,NO SE DETECTO INCUMPLIMIENTO
316,NO SE DETECTO INCUMPLIMIENTO
317,NO SE DETECTO INCUMPLIMIENTO
318,NO SE DETECTO INCUMPLIMIENTO
319,NO SE DETECTO INCUMPLIMIENTO
320,NO SE DETECTO INCUMPLIMIENTO
321,NO SE DETECTO INCUMPLIMIENTO
322,NO SE DETECTO INCUMPLIMIENTO
323,NO SE DETECTO INCUMPLIMIENTO
324,NO SE DETECTO INCUMPLIMIENTO
325,NO SE DETECTO INCUMPLIMIENTO
326,NO SE DETECTO INCUMPLIMIENTO
327,NO SE DETECTO INCUMPLIMIENTO
328,NO SE DETECTO INCUMPLIMIENTO
329,NO SE DETECTO INCUMPLIMIENTO
330,NO SE DETECTO INCUMPLIMIENTO
331,NO SE DETECTO INCUMPLIMIENTO
332,NO SE DETECTO INCUMPLIMIENTO
333,NO SE DETECTO INCUMPLIMIENTO
334,NO SE DETECTO INCUMPLIMIENTO
335,NO SE DETECTO INCUMPLIMIENTO
336,NO SE DETECTO INCUMPLIMIENTO
337,NO SE DETECTO INCUMPLIMIENTO
338,NO SE DETECTO INCUMPLIMIENTO
339,NO SE DETECTO INCUMPLIMIENTO
340,NO SE DETECTO INCUMPLIMIENTO
341,NO SE DETECTO INCUMPLIMIENTO
342,NO SE DETECTO INCUMPLIMIENTO
343,NO SE DETECTO INCUMPLIMIENTO
344,NO SE DETECTO INCUMPLIMIENTO
345,NO SE DETECTO INCUMPLIMIENTO
346,NO SE DETECTO INCUMPLIMIENTO
347,NO SE DETECTO INCUMPLIMIENTO
348,NO SE DETECTO INCUMPLIMIENTO
349,NO SE DETECTO INCUMPLIMIENTO
350,NO SE DETECTO INCUMPLIMIENTO
351,NO SE DETECTO INCUMPLIMIENTO
352,NO SE DETECTO INCUMPLIMIENTO
353,Carece de los requisitos generales de etiquetado
354,NO SE DETECTO INCUMPLIMIENTO
355,NO SE DETECTO INCUMPLIMIENTO
356,NO SE DETECTO INCUMPLIMIENTO
